Date;       Time;     Global_active_power; Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006; 17:24:00;   4.216;              0.418;              234.840;         18.400;   0.000;         1.000;         17.000
16/12/2006; 17:25:00;   5.360;              0.436;              233.630;         23.000;   0.000;         1.000;         16.000
16/12/2006; 17:26:00;   5.374;              0.498;              233.290;         23.000;   0.000;         2.000;         17.000
16/12/2006; 17:27:00;   5.388;              0.502;              233.740;         23.000;   0.000;         1.000;         17.000
16/12/2006; 17:28:00;   3.666;              0.528;              235.680;         15.800;   0.000;         1.000;         17.000
16/12/2006; 17:29:00;   3.520;              0.522;              235.020;         15.000;   0.000;         2.000;         17.000
16/12/2006; 17:30:00;   3.702;              0.520;              235.090;         15.800;   0.000;         1.000;         17.000
16/12/2006; 17:31:00;   3.700;              0.520;              235.220;         15.800;   0.000;         1.000;         17.000
16/12/2006; 17:32:00;   3.668;              0.510;              233.990;         15.800;   0.000;         1.000;         17.000
16/12/2006; 17:33:00;   3.662;              0.510;              233.860;         15.800;   0.000;         2.000;         16.000
01/01/2007; 04:58:00;   2.524;              0.142;              243.690;         10.200;   0.000;         0.000;          0.000
01/01/2007; 04:59:00;   2.460;              0.000;              244.060;         10.000;   0.000;         0.000;          0.000
01/01/2007; 05:00:00;   2.436;              0.000;              243.850;         10.000;   0.000;         0.000;          0.000
01/01/2007; 05:01:00;   2.434;              0.000;              243.710;         10.000;   0.000;         0.000;          0.000
01/01/2007; 05:02:00;   2.432;              0.000;              243.680;         10.000;   0.000;         0.000;          0.000
01/01/2007; 05:03:00;   2.442;              0.000;              244.130;         10.000;   0.000;         0.000;          0.000
01/01/2007; 05:04:00;   2.442;              0.000;              244.160;         10.000;   0.000;         0.000;          0.000
01/01/2007; 05:05:00;   2.418;              0.000;              242.900;         9.800;    0.000;         0.000;          0.000
01/01/2007; 05:06:00;   2.428;              0.000;              243.390;         9.800;    0.000;         0.000;          0.000
01/01/2007; 05:07:00;   2.420;              0.000;              243.030;         9.800;    0.000;         0.000;          0.000

